1.	Jacobs, Josh LVR RB	474.30	29.644	13.80 	15.60 	19.70 	48.00 	47.80 	B 	50.50 	7.40 	18.20 	28.60 	37.00 	75.80 	32.50 	25.90 	20.50 	7.00 	26.00 	@DEN	KWar	6
2.	McCaffrey, Christian SFO RB	450.46	28.154	15.70 	27.80 	25.00 	28.30 	32.40 	32.30 	8.70 	53.26 	B 	18.20 	22.10 	8.40 	38.10 	41.80 	35.80 	14.80 	47.80 	@PIT	Lesorub Magadan	9
3.	Henry, Derrick TEN RB	436.96	29.131	13.70 	9.00 	36.30 	34.70 	40.20 	B 	28.80 	60.30 	36.00 	13.20 	34.86 	18.70 	4.80 	32.50 	43.30 	30.60 	  	@NOS	GKC	6
4.	Ekeler, Austin LAC RB	421.20	26.325	10.70 	21.90 	10.30 	39.40 	52.40 	22.30 	40.20 	B 	22.60 	10.80 	24.00 	26.50 	17.20 	28.40 	21.50 	29.40 	43.60 	MIA	FC	8
5.	Chubb, Nick CLE RB	389.70	24.356	27.80 	38.80 	29.30 	33.20 	38.40 	14.00 	25.70 	37.40 	B 	19.60 	9.70 	32.70 	14.50 	7.90 	17.40 	18.70 	24.60 	CIN	ansuperman	9
6.	Barkley, Saquon NYG RB	386.50	24.156	48.90 	16.80 	26.60 	30.20 	24.60 	24.00 	28.50 	21.20 	B 	41.00 	4.50 	14.70 	24.10 	6.80 	31.00 	31.30 	12.30 	DAL	KWar	9
7.	Pollard, Tony DAL RB	339.40	22.627	3.20 	25.30 	23.00 	1.30 	21.10 	7.70 	18.40 	46.70 	B 	32.80 	53.40 	13.60 	31.10 	23.20 	20.60 	18.00 	  	@NYG	GKC (Q)	9
8.	Jones, Aaron GBP RB	318.30	19.894	11.10 	45.50 	4.70 	26.50 	16.50 	7.40 	31.60 	31.70 	5.50 	35.60 	13.00 	24.40 	8.50 	B 	26.60 	4.90 	24.80 	@CHI	Lesorub Magadan	14
9.	Cook, Dalvin MIN RB	318.10	19.881	20.30 	7.10 	22.10 	16.10 	33.60 	20.30 	B 	36.60 	13.60 	34.60 	13.70 	8.60 	22.30 	9.60 	38.00 	15.20 	6.40 	BYE	NDAK (Q)	7
10.	Stevenson, Rhamondre NEP RB	313.90	19.619	4.70 	6.60 	26.10 	18.90 	37.50 	29.60 	26.80 	30.30 	22.00 	B 	17.20 	22.70 	18.30 	2.00 	41.80 	3.30 	6.10 	PHI	GKC	10
11.	Sanders, Miles PHI RB	309.40	19.338	24.50 	17.60 	5.90 	42.60 	13.90 	20.70 	B 	20.80 	22.30 	11.90 	6.30 	43.00 	12.30 	41.50 	2.40 	11.60 	12.10 	@ATL	Oparysh	7
12.	Williams, Jamaal DET RB	297.70	18.606	17.00 	12.50 	32.20 	35.90 	12.10 	B 	14.30 	29.60 	17.10 	19.40 	32.40 	17.60 	12.00 	3.70 	3.80 	2.90 	35.20 	TEN	NDAK	6
13.	Etienne, Travis JAC RB	290.70	18.169	9.00 	8.30 	11.50 	3.70 	20.40 	18.80 	29.90 	44.20 	39.60 	10.30 	B 	0.30 	12.60 	4.20 	25.70 	19.20 	33.00 	@IND	Oparysh	11
14.	Mixon, Joe CIN RB	284.70	21.900	30.50 	16.30 	6.30 	22.40 	17.30 	18.30 	23.60 	10.40 	80.60 	B 	8.70 	  	  	18.60 	9.40 	22.30 	  	@CLE	Lesorub Magadan	10
15.	Fournette, Leonard TBB RB	269.20	17.947	27.70 	13.90 	11.50 	21.40 	44.90 	28.10 	4.60 	15.80 	9.50 	14.80 	B 	  	14.60 	9.10 	12.40 	33.20 	7.70 	BYE	БЕСЫ	11
16.	Harris, Najee PIT RB	266.96	16.685	10.60 	13.90 	19.60 	13.40 	5.10 	12.90 	16.00 	10.46 	B 	16.40 	32.60 	10.90 	17.70 	14.00 	22.10 	19.50 	31.80 	SFO	ansuperman	9
17.	Walker III, Kenneth SEA RB	266.10	19.007	  	3.00 	5.30 	3.90 	20.30 	25.50 	47.20 	18.20 	40.40 	17.20 	B 	17.90 	4.10 	  	11.40 	24.50 	27.20 	LAR	ansuperman	11
18.	Elliott, Ezekiel DAL RB	258.80	18.486	11.90 	11.90 	21.00 	10.10 	14.30 	23.60 	25.70 	  	B 	  	19.70 	23.50 	23.60 	22.10 	20.60 	19.60 	11.20 	BYE	GOD	9
19.	Conner, James ARI RB	252.70	19.438	17.00 	7.10 	10.70 	15.70 	13.30 	  	  	  	10.40 	29.10 	14.40 	33.00 	B 	27.40 	23.60 	30.00 	21.00 	@WAS	Oparysh	13
20.	Kamara, Alvin NOS RB	252.70	18.050	7.10 	  	12.80 	  	39.40 	22.40 	22.00 	51.80 	8.70 	6.50 	13.40 	5.50 	4.70 	B 	18.40 	25.00 	15.00 	TEN	illmatic27	14
21.	Montgomery, David CHI RB	243.60	16.240	7.00 	27.60 	1.10 	  	23.20 	15.50 	18.70 	14.50 	5.90 	5.90 	32.60 	20.30 	21.70 	B 	29.60 	15.40 	4.60 	@KCC	Gonsales Monsters (Q)	14
22.	Pierce, Dameon HOU RB	236.90	18.223	5.40 	16.20 	25.10 	33.90 	27.30 	B 	22.70 	15.10 	27.90 	20.20 	3.20 	3.10 	18.00 	18.80 	  	  	  	@BAL	FC	6
23.	Singletary, Devin BUF RB	224.70	14.980	9.20 	3.60 	27.10 	12.10 	5.60 	20.20 	B 	15.80 	7.80 	16.70 	25.20 	16.00 	17.60 	5.80 	10.50 	31.50 	  	@BAL	Snusmumrik's Minions	7
24.	Mostert, Raheem MIA RB	220.70	14.713	5.20 	15.90 	2.10 	15.10 	31.20 	6.30 	26.90 	14.20 	9.60 	23.70 	B 	  	4.00 	5.90 	28.60 	5.40 	26.60 	@LAC	БЕСЫ	11
25.	Allgeier, Tyler ATL RB	219.90	14.660	  	3.50 	4.50 	17.40 	6.00 	11.10 	18.00 	18.00 	20.30 	2.30 	12.90 	11.90 	11.70 	B 	36.10 	21.70 	24.50 	CAR	NDAK	14
26.	McKinnon, Jerick KCC RB	219.70	13.731	7.40 	9.10 	2.00 	0.50 	15.20 	5.00 	6.30 	B 	8.40 	15.30 	1.40 	5.10 	19.50 	41.90 	43.20 	12.30 	27.10 	DET	MH	8
27.	Taylor, Jonathan IND RB	213.90	19.445	45.00 	13.30 	17.60 	4.30 	  	  	19.00 	11.60 	  	36.80 	21.40 	24.30 	18.80 	B 	1.80 	  	  	JAC	Gonsales Monsters (Q)	14
28.	Wilson, Jeffery MIA RB	207.60	13.840	4.00 	18.80 	16.60 	19.40 	33.70 	1.50 	11.90 	6.00 	20.70 	34.80 	B 	13.70 	0.30 	3.60 	  	11.50 	11.10 	@LAC	GOD	11
29.	Dillon, AJ GBP RB	206.80	12.925	20.60 	14.70 	5.80 	15.40 	4.40 	7.70 	1.50 	13.80 	6.90 	13.00 	3.30 	23.80 	27.90 	B 	23.60 	12.80 	11.60 	@CHI	NDAK	14
