1.	Kelce, Travis KCC TE	399.40	30.723	43.10 	18.10 	26.90 	37.20 	38.50 	35.20 	24.80 	B 	37.60 	30.10 	50.50 	23.70 	14.60 	19.10 	DET	illmatic27	8
2.	Andrews, Mark BAL TE	248.90	20.742	18.20 	42.70 	39.90 	4.50 	32.90 	40.60 	1.40 	7.30 	  	B 	20.30 	18.00 	17.40 	5.70 	HOU	Oparysh	10
3.	Hockenson, T.J. MIN TE	218.70	16.823	10.80 	6.60 	11.80 	61.90 	1.60 	B 	11.80 	18.00 	26.00 	13.50 	9.40 	17.30 	10.30 	19.70 	TBB	MH	7
4.	Freiermuth, Pat PIT TE	190.00	15.833	20.50 	13.20 	8.10 	26.50 	3.20 	  	24.50 	17.70 	B 	8.60 	24.90 	8.90 	18.60 	15.30 	SFO	FC (Q)	9
5.	Engram, Evan JAC TE	188.80	14.523	7.80 	14.60 	4.90 	3.60 	19.90 	10.00 	18.70 	22.50 	1.80 	5.40 	B 	1.40 	16.00 	62.20 	@IND	NDAK	11
6.	Goedert, Dallas PHI TE	179.40	19.933	17.00 	22.20 	12.60 	19.20 	27.50 	6.20 	B 	22.40 	41.00 	11.30 	  	  	  	  	@NEP	БЕСЫ	7
7.	Njoku, David CLE TE	174.50	17.450	1.70 	9.20 	34.90 	17.70 	24.80 	15.80 	22.10 	  	B 	  	4.70 	15.90 	  	27.70 	CIN	Snusmumrik's Minions	9
8.	Hill, Taysom NOS TE	164.94	13.745	22.30 	2.40 	  	11.10 	53.58 	7.54 	13.12 	19.28 	1.62 	0.10 	16.06 	3.00 	14.84 	B 	TEN	KWar	14
9.	Everett, Gerald LAC TE	159.00	13.250	21.40 	20.10 	5.50 	25.10 	1.20 	9.90 	19.30 	B 	10.60 	5.30 	  	8.80 	22.00 	9.80 	MIA	БЕСЫ	8
10.	Kittle, George SFO TE	153.00	13.909	  	  	6.80 	5.40 	9.70 	25.30 	31.80 	14.90 	B 	4.10 	32.40 	7.60 	6.20 	8.80 	@PIT	GKC	9
11.	Ertz, Zach ARI TE	149.60	14.960	12.40 	25.50 	12.50 	18.70 	14.80 	22.00 	7.10 	16.40 	17.00 	3.20 	  	  	B 	  	@WAS	GOD (Q)	13
12.	Conklin, Tyler NYJ TE	143.90	11.069	12.60 	11.00 	24.40 	16.20 	0.00 	4.70 	7.20 	35.90 	2.70 	B 	3.50 	15.00 	2.90 	7.80 	BUF	NDAK	10
13.	Higbee, Tyler LAR TE	139.50	10.731	12.90 	22.10 	17.10 	26.30 	14.60 	1.70 	B 	4.50 	0.00 	22.30 	10.50 	0.00 	3.40 	4.10 	@SEA	PGs	7
14.	Schultz, Dalton DAL TE	139.00	12.636	20.20 	1.80 	  	0.00 	0.00 	  	12.90 	20.40 	B 	24.40 	6.20 	21.10 	7.30 	24.70 	@BAL	Oparysh	9
15.	Kmet, Cole CHI TE	137.70	10.592	0.00 	0.00 	8.00 	5.60 	10.50 	3.50 	6.20 	10.10 	26.00 	30.40 	8.50 	6.70 	22.20 	B 	GBP	GKC	14
16.	Hurst, Hayden CIN TE	132.00	11.000	12.60 	9.40 	2.70 	13.70 	24.30 	5.10 	14.80 	10.20 	10.50 	B 	6.80 	18.70 	3.20 	  	@ATL	illmatic27	10
17.	Henry, Hunter NEP TE	124.60	9.585	5.00 	0.00 	2.80 	3.30 	18.40 	24.10 	3.20 	4.20 	16.00 	B 	4.00 	22.30 	3.30 	18.00 	PHI	БЕСЫ	10
18.	Knox, Dawson BUF TE	119.80	9.983	1.50 	10.10 	7.50 	10.00 	  	14.70 	B 	10.00 	6.50 	17.70 	22.00 	4.70 	0.00 	15.10 	@NYJ	illmatic27 (Q)	7
19.	Johnson, Juwan NOS TE	110.90	9.242	7.30 	10.00 	0.00 	7.30 	3.30 	11.10 	22.20 	3.40 	13.20 	17.40 	15.70 	0.00 	  	B 	TEN	Lesorub Magadan	14
20.	Fant, Noah SEA TE	110.20	8.477	5.60 	3.10 	7.70 	8.20 	9.90 	11.50 	1.70 	4.90 	23.60 	8.40 	B 	7.40 	18.20 	0.00 	LAR	Snusmumrik's Minions	11
21.	Hooper, Austin TEN TE	109.70	8.438	1.60 	3.90 	4.90 	2.40 	2.70 	B 	16.60 	1.50 	7.40 	11.10 	22.60 	8.00 	6.20 	20.80 	@DEN	GOD	6
22.	Tonyan, Robert GBP TE	108.20	8.323	7.60 	3.10 	10.70 	11.20 	9.30 	28.00 	7.20 	9.50 	6.90 	1.80 	4.90 	6.00 	2.00 	B 	GBP	Gonsales Monsters	14
23.	Otton, Cade TBB TE	107.70	8.975	0.00 	1.40 	  	7.90 	12.30 	5.30 	17.40 	4.50 	26.80 	7.50 	B 	0.00 	16.80 	7.80 	@MIN	GOD	11
24.	Pitts, Kyle ATL TE	105.60	10.560	4.90 	4.90 	23.70 	4.50 	  	11.90 	4.90 	28.00 	6.70 	6.80 	9.30 	  	  	B 	CAR	PGs (Q)	14
25.	Dulcich, Greg DEN TE	100.10	12.513	  	  	  	  	  	14.40 	18.10 	20.70 	B 	3.10 	9.00 	4.10 	23.50 	7.20 	LVR	MH	9
26.	Dissly, Will SEA TE	99.70	7.669	14.30 	2.00 	14.40 	14.90 	5.10 	3.20 	11.50 	5.20 	7.40 	6.80 	B 	4.70 	5.20 	5.00 	LAR	Snusmumrik's Minions	11
27.	Akins, Jordan HOU TE	98.60	8.964	  	  	14.10 	6.30 	6.20 	B 	17.80 	1.50 	0.00 	17.20 	3.80 	24.10 	6.10 	1.50 	CIN	GOD	6
28.	Gesicki, Mike MIA TE	94.90	7.300	1.10 	16.10 	1.60 	5.30 	5.00 	35.90 	6.70 	14.80 	1.30 	7.10 	B 	0.00 	0.00 	0.00 	PHI	Gonsales Monsters	11
29.	Okonkwo, Chigoziem TEN TE	86.60	6.662	2.70 	0.00 	0.00 	15.80 	0.00 	B 	0.00 	1.30 	6.80 	6.10 	5.10 	8.50 	18.80 	21.50 	@NOS	Gonsales Monsters	6
30.	Moreau, Foster LVR TE	85.80	7.800	0.00 	8.00 	10.40 	  	  	B 	7.80 	12.10 	6.40 	15.30 	5.30 	15.30 	5.20 	0.00 	TEN	GKC	6
31.	Granson, Kylen IND TE	81.80	6.817	6.20 	3.40 	2.70 	19.20 	3.60 	10.80 	1.60 	5.10 	0.00 	17.70 	3.60 	  	7.90 	B 	JAC	ansuperman	14
32.	Bellinger, Daniel NYG TE	74.70	8.300	0.00 	9.60 	10.00 	6.30 	13.40 	17.80 	3.30 	  	B 	  	  	  	7.40 	6.90 	DAL	KWar	9
33.	Likely, Isaiah BAL TE	74.60	6.217	0.00 	9.30 	1.80 	0.00 	2.70 	7.00 	3.60 	29.70 	10.40 	B 	1.10 	  	9.00 	0.00 	HOU	Oparysh	10
34.	Woods, Jelani IND TE	72.50	6.591	0.00 	0.00 	17.30 	5.30 	0.00 	12.70 	2.40 	0.00 	1.20 	  	  	27.80 	5.80 	B 	JAC	FC (Q)	14
35.	Gray, Noah KCC TE	69.50	5.346	3.00 	4.20 	4.60 	7.10 	1.70 	4.30 	3.00 	B 	9.50 	11.00 	4.50 	3.60 	3.50 	9.50 	DET	GOD	8
36.	Thomas, Logan WAS TE	66.00	6.600	9.50 	13.70 	3.50 	8.90 	  	  	  	0.00 	0.00 	3.20 	19.50 	1.70 	6.00 	B 	ARI	NDAK	14
37.	Bryant, Harrison CLE TE	62.10	4.777	4.80 	9.50 	0.00 	5.80 	0.00 	4.80 	4.50 	0.00 	B 	12.50 	11.10 	3.90 	3.40 	1.80 	CIN	FA	9
38.	Smith Jr., Irv MIN TE	59.80	8.543	0.00 	17.60 	7.20 	6.30 	10.20 	11.70 	B 	6.80 	  	  	  	  	  	  	@CLE	MH	7
39.	Waller, Darren LVR TE	58.50	11.700	20.90 	25.00 	6.20 	6.40 	0.00 	B 	  	  	  	  	  	  	  	  	DAL	KWar	6
40.	Alie-Cox, Mo IND TE	58.30	4.485	6.60 	1.90 	1.90 	35.50 	1.70 	0.00 	0.00 	0.00 	3.30 	0.00 	3.40 	4.40 	-0.40 	B 	JAC	Gonsales Monsters	14
41.	Smith, Jonnu NEP TE	55.50	4.625	8.30 	0.00 	7.50 	0.00 	  	14.10 	1.40 	5.00 	6.10 	B 	10.50 	0.00 	2.60 	0.00 	CAR	FC	10
42.	Ferguson, Jake DAL TE	53.90	4.146	0.00 	0.00 	3.30 	1.70 	0.00 	17.00 	1.70 	8.10 	B 	0.00 	4.50 	15.70 	1.90 	0.00 	@NYG	Snusmumrik's Minions	9
43.	Parkinson, Colby SEA TE	49.40	4.117	14.30 	  	8.40 	6.80 	0.00 	3.10 	4.80 	1.50 	3.60 	1.70 	B 	0.00 	3.20 	2.00 	LAR	FA	11
44.	Thomas, Ian CAR TE	48.60	3.738	14.30 	3.30 	3.30 	1.60 	2.80 	5.20 	1.30 	1.20 	0.00 	0.00 	5.40 	6.10 	B 	4.10 	@ATL	FA	13
45.	Oliver, Josh BAL TE	48.00	3.692	0.00 	0.00 	9.80 	0.00 	0.00 	5.10 	0.00 	1.40 	3.90 	B 	1.20 	26.60 	0.00 	0.00 	TBB	FA	10
46.	Wright, Brock DET TE	47.10	3.623	0.00 	4.50 	0.00 	0.00 	0.00 	B 	17.70 	1.60 	0.00 	8.20 	6.00 	2.60 	6.50 	0.00 	@KCC	FA	6
47.	Trautman, Adam NOS TE	46.30	4.209	0.00 	0.00 	1.90 	8.70 	12.20 	1.80 	  	  	1.80 	5.20 	4.20 	3.70 	6.80 	B 	LVR	Snusmumrik's Minions	14
48.	Brate, Cameron TBB TE	44.90	5.612	2.70 	1.90 	18.20 	10.20 	  	3.40 	  	  	  	1.80 	B 	3.50 	  	3.20 	BYE	FA	11
