1.	Kelce, Travis KCC TE	483.50	30.219	43.10 	18.10 	26.90 	37.20 	38.50 	35.20 	24.80 	B 	37.60 	30.10 	50.50 	23.70 	14.60 	19.10 	37.50 	31.30 	15.30 	DET	illmatic27	8
2.	Andrews, Mark BAL TE	301.50	20.100	18.20 	42.70 	39.90 	4.50 	32.90 	40.60 	1.40 	7.30 	  	B 	20.30 	18.00 	17.40 	5.70 	8.10 	9.50 	35.00 	HOU	Oparysh	10
3.	Hockenson, T.J. MIN TE	299.80	18.738	10.80 	6.60 	11.80 	61.90 	1.60 	B 	11.80 	18.00 	26.00 	13.50 	9.40 	17.30 	10.30 	19.70 	8.30 	51.90 	20.90 	TBB	MH	7
4.	Engram, Evan JAC TE	247.20	15.450	7.80 	14.60 	4.90 	3.60 	19.90 	10.00 	18.70 	22.50 	1.80 	5.40 	B 	1.40 	16.00 	62.20 	20.20 	32.30 	5.90 	@IND	NDAK	11
5.	Kittle, George SFO TE	244.60	17.471	  	  	6.80 	5.40 	9.70 	25.30 	31.80 	14.90 	B 	4.10 	32.40 	7.60 	6.20 	8.80 	32.30 	45.00 	14.30 	@PIT	GKC	9
6.	Freiermuth, Pat PIT TE	220.20	14.680	20.50 	13.20 	8.10 	26.50 	3.20 	  	24.50 	17.70 	B 	8.60 	24.90 	8.90 	18.60 	15.30 	0.00 	21.60 	8.60 	SFO	FC (Q)	9
7.	Hill, Taysom NOS TE	219.80	14.653	22.30 	2.40 	  	11.10 	53.58 	7.54 	13.12 	19.28 	1.62 	0.10 	16.06 	3.00 	14.84 	B 	15.20 	20.60 	19.06 	TEN	KWar	14
8.	Goedert, Dallas PHI TE	207.60	18.873	17.00 	22.20 	12.60 	19.20 	27.50 	6.20 	B 	22.40 	41.00 	11.30 	  	  	  	  	  	17.70 	10.50 	@NEP	БЕСЫ	7
9.	Higbee, Tyler LAR TE	199.70	12.481	12.90 	22.10 	17.10 	26.30 	14.60 	1.70 	B 	4.50 	0.00 	22.30 	10.50 	0.00 	3.40 	4.10 	13.70 	41.40 	5.10 	@SEA	PGs	7
10.	Njoku, David CLE TE	189.80	14.600	1.70 	9.20 	34.90 	17.70 	24.80 	15.80 	22.10 	  	B 	  	4.70 	15.90 	  	27.70 	7.80 	3.40 	4.10 	CIN	Snusmumrik's Minions	9
11.	Schultz, Dalton DAL TE	186.40	13.314	20.20 	1.80 	  	0.00 	0.00 	  	12.90 	20.40 	B 	24.40 	6.20 	21.10 	7.30 	24.70 	4.50 	9.30 	33.60 	@BAL	Oparysh	9
12.	Everett, Gerald LAC TE	181.70	12.113	21.40 	20.10 	5.50 	25.10 	1.20 	9.90 	19.30 	B 	10.60 	5.30 	  	8.80 	22.00 	9.80 	10.20 	0.00 	12.50 	MIA	БЕСЫ	8
13.	Conklin, Tyler NYJ TE	179.20	11.200	12.60 	11.00 	24.40 	16.20 	0.00 	4.70 	7.20 	35.90 	2.70 	B 	3.50 	15.00 	2.90 	7.80 	3.90 	8.40 	23.00 	BUF	NDAK	10
14.	Johnson, Juwan NOS TE	165.70	11.047	7.30 	10.00 	0.00 	7.30 	3.30 	11.10 	22.20 	3.40 	13.20 	17.40 	15.70 	0.00 	  	B 	31.70 	2.90 	20.20 	TEN	Lesorub Magadan	14
15.	Kmet, Cole CHI TE	165.60	10.350	0.00 	0.00 	8.00 	5.60 	10.50 	3.50 	6.20 	10.10 	26.00 	30.40 	8.50 	6.70 	22.20 	B 	7.50 	8.70 	11.70 	GBP	GKC	14
16.	Knox, Dawson BUF TE	165.40	11.814	1.50 	10.10 	7.50 	10.00 	  	14.70 	B 	10.00 	6.50 	17.70 	22.00 	4.70 	0.00 	15.10 	30.80 	14.80 	  	@NYJ	illmatic27 (Q)	7
17.	Ertz, Zach ARI TE	149.60	14.960	12.40 	25.50 	12.50 	18.70 	14.80 	22.00 	7.10 	16.40 	17.00 	3.20 	  	  	B 	  	  	  	  	@WAS	GOD (Q)	13
18.	Fant, Noah SEA TE	145.60	9.100	5.60 	3.10 	7.70 	8.20 	9.90 	11.50 	1.70 	4.90 	23.60 	8.40 	B 	7.40 	18.20 	0.00 	17.20 	10.20 	8.00 	LAR	Snusmumrik's Minions	11
19.	Henry, Hunter NEP TE	144.70	9.044	5.00 	0.00 	2.80 	3.30 	18.40 	24.10 	3.20 	4.20 	16.00 	B 	4.00 	22.30 	3.30 	18.00 	2.90 	0.00 	17.20 	PHI	БЕСЫ	10
20.	Tonyan, Robert GBP TE	135.10	8.444	7.60 	3.10 	10.70 	11.20 	9.30 	28.00 	7.20 	9.50 	6.90 	1.80 	4.90 	6.00 	2.00 	B 	2.40 	3.30 	21.20 	GBP	Gonsales Monsters	14
21.	Hurst, Hayden CIN TE	132.00	11.000	12.60 	9.40 	2.70 	13.70 	24.30 	5.10 	14.80 	10.20 	10.50 	B 	6.80 	18.70 	3.20 	  	  	  	  	@ATL	illmatic27	10
22.	Akins, Jordan HOU TE	126.50	9.036	  	  	14.10 	6.30 	6.20 	B 	17.80 	1.50 	0.00 	17.20 	3.80 	24.10 	6.10 	1.50 	12.20 	7.90 	7.80 	CIN	GOD	6
23.	Hooper, Austin TEN TE	123.60	7.725	1.60 	3.90 	4.90 	2.40 	2.70 	B 	16.60 	1.50 	7.40 	11.10 	22.60 	8.00 	6.20 	20.80 	7.30 	5.00 	1.60 	@DEN	GOD	6
24.	Dulcich, Greg DEN TE	119.10	11.910	  	  	  	  	  	14.40 	18.10 	20.70 	B 	3.10 	9.00 	4.10 	23.50 	7.20 	3.10 	15.90 	  	LVR	MH	9
25.	Otton, Cade TBB TE	118.60	7.907	0.00 	1.40 	  	7.90 	12.30 	5.30 	17.40 	4.50 	26.80 	7.50 	B 	0.00 	16.80 	7.80 	4.00 	3.20 	3.70 	@MIN	GOD	11
26.	Waller, Darren LVR TE	115.30	14.412	20.90 	25.00 	6.20 	6.40 	0.00 	B 	  	  	  	  	  	  	  	  	15.80 	16.80 	24.20 	DAL	KWar	6
27.	Okonkwo, Chigoziem TEN TE	113.00	7.063	2.70 	0.00 	0.00 	15.80 	0.00 	B 	0.00 	1.30 	6.80 	6.10 	5.10 	8.50 	18.80 	21.50 	17.00 	3.00 	6.40 	@NOS	Gonsales Monsters	6
28.	Gesicki, Mike MIA TE	112.60	7.037	1.10 	16.10 	1.60 	5.30 	5.00 	35.90 	6.70 	14.80 	1.30 	7.10 	B 	0.00 	0.00 	0.00 	1.50 	4.40 	11.80 	PHI	Gonsales Monsters	11
29.	Moreau, Foster LVR TE	111.20	7.943	0.00 	8.00 	10.40 	  	  	B 	7.80 	12.10 	6.40 	15.30 	5.30 	15.30 	5.20 	0.00 	4.00 	4.90 	16.50 	TEN	GKC	6
30.	Dissly, Will SEA TE	106.90	7.127	14.30 	2.00 	14.40 	14.90 	5.10 	3.20 	11.50 	5.20 	7.40 	6.80 	B 	4.70 	5.20 	5.00 	3.30 	3.90 	  	LAR	Snusmumrik's Minions	11
31.	Pitts, Kyle ATL TE	105.60	10.560	4.90 	4.90 	23.70 	4.50 	  	11.90 	4.90 	28.00 	6.70 	6.80 	9.30 	  	  	B 	  	  	  	CAR	PGs (Q)	14
32.	Thomas, Logan WAS TE	98.70	7.592	9.50 	13.70 	3.50 	8.90 	  	  	  	0.00 	0.00 	3.20 	19.50 	1.70 	6.00 	B 	1.60 	11.50 	19.60 	ARI	NDAK	14
33.	Woods, Jelani IND TE	93.30	6.664	0.00 	0.00 	17.30 	5.30 	0.00 	12.70 	2.40 	0.00 	1.20 	  	  	27.80 	5.80 	B 	5.60 	9.30 	5.90 	JAC	FC (Q)	14
34.	Likely, Isaiah BAL TE	92.00	6.133	0.00 	9.30 	1.80 	0.00 	2.70 	7.00 	3.60 	29.70 	10.40 	B 	1.10 	  	9.00 	0.00 	4.80 	1.40 	11.20 	HOU	Oparysh	10
35.	Bellinger, Daniel NYG TE	90.00	7.500	0.00 	9.60 	10.00 	6.30 	13.40 	17.80 	3.30 	  	B 	  	  	  	7.40 	6.90 	1.40 	4.70 	9.20 	DAL	KWar	9
36.	Granson, Kylen IND TE	88.20	6.785	6.20 	3.40 	2.70 	19.20 	3.60 	10.80 	1.60 	5.10 	0.00 	17.70 	3.60 	  	7.90 	B 	6.40 	  	  	JAC	ansuperman	14
37.	Wright, Brock DET TE	86.60	5.412	0.00 	4.50 	0.00 	0.00 	0.00 	B 	17.70 	1.60 	0.00 	8.20 	6.00 	2.60 	6.50 	0.00 	18.10 	3.10 	18.30 	@KCC	FA	6
38.	Gray, Noah KCC TE	81.60	5.100	3.00 	4.20 	4.60 	7.10 	1.70 	4.30 	3.00 	B 	9.50 	11.00 	4.50 	3.60 	3.50 	9.50 	8.10 	1.80 	2.20 	DET	GOD	8
39.	Parkinson, Colby SEA TE	74.50	4.967	14.30 	  	8.40 	6.80 	0.00 	3.10 	4.80 	1.50 	3.60 	1.70 	B 	0.00 	3.20 	2.00 	0.00 	8.50 	16.60 	LAR	FA	11
40.	McBride, Trey ARI TE	74.40	4.960	  	0.00 	0.00 	6.40 	0.00 	0.00 	0.00 	0.00 	0.00 	1.70 	5.40 	1.10 	B 	6.80 	17.50 	4.70 	30.80 	@WAS	ansuperman	13
41.	Bryant, Harrison CLE TE	69.70	4.356	4.80 	9.50 	0.00 	5.80 	0.00 	4.80 	4.50 	0.00 	B 	12.50 	11.10 	3.90 	3.40 	1.80 	2.70 	0.00 	4.90 	CIN	FA	9
42.	Smith, Jonnu NEP TE	67.00	4.786	8.30 	0.00 	7.50 	0.00 	  	14.10 	1.40 	5.00 	6.10 	B 	10.50 	0.00 	2.60 	0.00 	6.40 	5.10 	  	CAR	FC	10
43.	Uzomah, C.J. NYJ TE	66.20	4.413	0.00 	  	1.50 	0.00 	3.20 	4.70 	1.50 	4.70 	5.60 	B 	0.00 	5.70 	5.10 	1.70 	20.10 	5.00 	7.40 	BUF	Lesorub Magadan (O)	10
44.	Ferguson, Jake DAL TE	60.00	4.000	0.00 	0.00 	3.30 	1.70 	0.00 	17.00 	1.70 	8.10 	B 	0.00 	4.50 	15.70 	1.90 	0.00 	  	4.40 	1.70 	@NYG	Snusmumrik's Minions	9
45.	Smith Jr., Irv MIN TE	59.80	8.543	0.00 	17.60 	7.20 	6.30 	10.20 	11.70 	B 	6.80 	  	  	  	  	  	  	  	  	  	@CLE	MH	7
46.	Alie-Cox, Mo IND TE	59.50	3.719	6.60 	1.90 	1.90 	35.50 	1.70 	0.00 	0.00 	0.00 	3.30 	0.00 	3.40 	4.40 	-0.40 	B 	0.00 	1.20 	0.00 	JAC	Gonsales Monsters	14
47.	Tremble, Tommy CAR TE	59.20	3.700	1.10 	0.00 	1.70 	7.40 	0.00 	0.00 	10.90 	4.70 	8.10 	0.00 	0.00 	1.20 	B 	0.00 	5.00 	4.80 	14.30 	@ATL	FC	13
48.	Thomas, Ian CAR TE	53.70	3.356	14.30 	3.30 	3.30 	1.60 	2.80 	5.20 	1.30 	1.20 	0.00 	0.00 	5.40 	6.10 	B 	4.10 	0.00 	3.20 	1.90 	@ATL	FA	13
49.	Oliver, Josh BAL TE	52.90	3.306	0.00 	0.00 	9.80 	0.00 	0.00 	5.10 	0.00 	1.40 	3.90 	B 	1.20 	26.60 	0.00 	0.00 	3.30 	1.60 	0.00 	TBB	FA	10
50.	Pruitt, MyCole ATL TE	50.60	4.600	  	  	  	  	  	8.20 	0.00 	0.00 	2.60 	1.60 	3.70 	9.90 	8.70 	B 	5.00 	0.00 	10.90 	BYE	FA	14
51.	Brate, Cameron TBB TE	50.40	5.040	2.70 	1.90 	18.20 	10.20 	  	3.40 	  	  	  	1.80 	B 	3.50 	  	3.20 	5.50 	0.00 	  	BYE	FA	11
52.	Trautman, Adam NOS TE	49.90	3.564	0.00 	0.00 	1.90 	8.70 	12.20 	1.80 	  	  	1.80 	5.20 	4.20 	3.70 	6.80 	B 	0.00 	0.00 	3.60 	LVR	Snusmumrik's Minions	14
53.	Hendershot, Peyton DAL TE	48.50	3.031	0.00 	0.00 	9.30 	0.00 	0.00 	6.20 	9.50 	5.50 	B 	0.00 	0.80 	7.20 	0.00 	0.00 	10.00 	0.00 	0.00 	@NYG	GOD	9
54.	Mundt, Johnny MIN TE	48.00	3.000	5.70 	5.80 	6.30 	0.00 	2.60 	2.10 	B 	8.10 	1.10 	0.00 	2.80 	5.00 	3.20 	0.00 	1.70 	3.60 	0.00 	TBB	FA	7
55.	Zylstra, Shane DET TE	47.00	3.917	0.00 	0.00 	0.00 	  	  	B 	  	  	8.10 	0.00 	0.00 	0.00 	1.40 	4.80 	1.40 	29.60 	1.70 	@KCC	FA	6
56.	Wilcox, Mitchell CIN TE	42.90	2.860	0.00 	1.30 	1.90 	3.80 	0.00 	0.00 	3.40 	1.30 	0.00 	B 	0.00 	0.00 	3.30 	3.00 	14.40 	10.50 	  	BYE	FA	10
57.	Howard, O.J. HOU TE	42.50	3.269	19.80 	1.70 	0.00 	5.70 	0.00 	B 	0.00 	5.40 	3.40 	0.00 	1.90 	0.00 	  	0.00 	  	  	4.60 	@DEN	FA	6
58.	Saubert, Eric DEN TE	41.80	2.612	0.00 	10.20 	0.00 	4.50 	10.60 	0.00 	0.00 	0.00 	B 	2.20 	3.60 	0.00 	0.00 	1.20 	1.50 	0.00 	8.00 	@LAC	FA	9
59.	Fortson, Jody KCC TE	40.80	3.138	8.10 	0.00 	0.00 	9.00 	0.00 	0.00 	2.80 	B 	  	-0.40 	14.10 	5.60 	1.60 	0.00 	0.00 	  	  	DET	FA	8
60.	Smythe, Durham MIA TE	40.10	2.673	3.40 	1.50 	6.30 	0.00 	9.90 	  	0.00 	0.00 	0.00 	0.00 	B 	8.40 	5.10 	0.00 	0.80 	1.80 	2.90 	@LAC	Lesorub Magadan	11
61.	Hudson, Tanner CIN TE	36.20	3.291	0.00 	6.20 	0.00 	3.80 	0.00 	0.00 	0.00 	16.80 	B 	6.40 	0.00 	3.00 	  	  	  	  	  	@CLE	FA	10
62.	Bates, John WAS TE	34.80	2.320	0.00 	3.50 	0.00 	6.90 	7.90 	  	0.00 	1.60 	2.50 	0.00 	0.00 	12.40 	0.00 	B 	0.00 	0.00 	0.00 	ARI	NDAK	14
63.	Gentry, Zach PIT TE	33.90	2.119	7.00 	0.00 	0.00 	1.20 	13.30 	1.40 	2.00 	1.30 	B 	0.00 	2.80 	0.60 	1.80 	0.00 	1.40 	1.10 	0.00 	SFO	FA	9
64.	Jordan, Brevin HOU TE	33.80	3.380	2.50 	2.30 	  	  	  	B 	0.00 	4.90 	1.50 	  	  	  	10.60 	0.00 	2.90 	5.10 	4.00 	@BAL	Oparysh	6
65.	Mitchell, James DET TE	33.60	2.585	  	  	  	0.00 	0.00 	B 	0.00 	3.40 	10.80 	1.40 	0.00 	4.20 	0.00 	0.00 	4.20 	6.10 	3.50 	@KCC	FA	6
66.	Parham, Donald LAC TE	32.90	6.580	  	  	  	  	0.00 	15.30 	  	B 	  	  	  	  	  	  	7.50 	1.80 	8.30 	MIA	PGs	8
67.	Heyward, Connor PIT TE	32.70	2.044	0.00 	0.00 	0.00 	0.00 	4.20 	7.90 	1.60 	0.00 	B 	2.90 	0.00 	0.00 	9.70 	3.30 	0.00 	3.10 	0.00 	SFO	illmatic27	9
68.	Lewis, Marcedes GBP TE	31.60	1.975	0.00 	0.00 	0.00 	0.00 	8.20 	0.00 	0.00 	0.00 	3.90 	0.90 	0.00 	0.00 	2.00 	B 	3.40 	13.20 	0.00 	BYE	FA	14
69.	Brown, Pharaoh CLE TE	29.70	1.980	3.70 	6.40 	7.10 	  	0.00 	6.10 	0.00 	0.00 	B 	3.30 	0.00 	0.00 	3.10 	0.00 	0.00 	0.00 	0.00 	JAC	FA	9
