1.	Jefferson, Justin MIN WR	389.26	29.943	53.40 	9.80 	2.90 	39.00 	43.82 	25.20 	B 	19.30 	34.50 	49.30 	5.80 	37.34 	17.10 	51.80 	TBB	Snusmumrik's Minions	7
2.	Hill, Tyreek MIA WR	374.00	28.769	21.50 	54.50 	5.30 	38.90 	11.50 	43.20 	17.20 	44.50 	37.30 	14.90 	B 	19.00 	38.10 	28.10 	@LAC	FC (Q)	11
3.	Adams, Davante LVR WR	354.60	27.277	39.10 	9.20 	12.70 	27.00 	37.40 	B 	21.00 	0.70 	44.60 	35.10 	42.60 	17.90 	52.70 	14.60 	@DEN	MH	6
4.	Diggs, Stefon BUF WR	346.90	26.685	34.70 	51.80 	17.90 	14.70 	32.70 	39.80 	B 	31.30 	19.30 	31.80 	14.30 	25.70 	27.20 	5.70 	@NYJ	ansuperman	7
5.	Brown, A.J. PHI WR	286.50	22.038	39.00 	15.40 	24.50 	19.00 	5.70 	21.70 	B 	53.60 	20.40 	1.70 	12.50 	12.10 	40.40 	20.50 	@NEP	GOD	7
6.	St. Brown, Amon-Ra DET WR	277.20	23.100	22.90 	52.90 	17.30 	  	4.30 	B 	0.90 	17.40 	14.00 	31.10 	18.00 	37.40 	43.60 	17.40 	@KCC	Oparysh	6
7.	Lamb, CeeDee DAL WR	265.20	20.400	4.90 	19.10 	26.70 	25.70 	13.80 	16.70 	15.60 	23.30 	B 	51.50 	8.00 	27.70 	25.90 	6.30 	@NYG	Gonsales Monsters (Q)	9
8.	Waddle, Jaylen MIA WR	260.00	20.000	22.20 	54.10 	25.10 	5.90 	4.80 	25.40 	17.80 	40.10 	24.00 	15.60 	B 	18.00 	1.90 	5.10 	@LAC	GOD	11
9.	Lockett, Tyler SEA WR	251.10	19.315	5.30 	28.20 	18.60 	16.60 	36.90 	3.20 	9.50 	19.80 	21.70 	13.20 	B 	20.30 	36.30 	21.50 	LAR	FC	11
10.	Kupp, Cooper LAR WR	246.90	27.433	38.30 	40.30 	16.40 	33.70 	33.90 	21.70 	B 	27.40 	33.80 	1.40 	  	  	  	  	@SEA	Lesorub Magadan (Q)	7
11.	Kirk, Christian JAC WR	238.10	18.315	26.20 	30.30 	23.20 	13.30 	1.60 	9.30 	21.10 	7.00 	25.10 	40.50 	B 	7.10 	25.90 	7.50 	@IND	Oparysh	11
12.	McLaurin, Terry WAS WR	237.70	18.285	18.80 	17.20 	25.20 	3.00 	16.60 	8.20 	22.80 	25.10 	14.60 	29.30 	14.10 	9.30 	33.50 	B 	ARI	NDAK	14
13.	Chase, Ja'Marr CIN WR	237.40	26.378	38.90 	15.80 	10.70 	16.60 	15.00 	41.20 	42.00 	  	  	B 	  	  	20.20 	37.00 	@CLE	MH	10
14.	Cooper, Amari CLE WR	235.90	18.146	3.20 	34.60 	31.60 	1.90 	25.10 	13.90 	14.90 	30.10 	B 	6.20 	40.80 	19.90 	7.50 	6.20 	CIN	illmatic27	9
15.	Metcalf, DK SEA WR	225.40	17.338	5.60 	6.50 	21.90 	30.90 	21.30 	5.40 	1.70 	22.00 	13.20 	17.60 	B 	21.50 	35.20 	22.60 	LAR	Gonsales Monsters	11
16.	Wilson, Garrett NYJ WR	224.70	17.285	13.20 	39.00 	15.50 	5.60 	5.70 	1.30 	5.40 	27.00 	20.40 	B 	2.70 	31.40 	38.70 	18.80 	BUF	MH	10
17.	Olave, Chris NOS WR	222.20	18.517	8.60 	14.00 	31.70 	21.70 	19.90 	  	26.10 	15.20 	17.10 	6.50 	30.70 	15.20 	15.50 	B 	TEN	Gonsales Monsters (Q)	14
18.	Higgins, Tee CIN WR	216.10	16.623	4.70 	23.60 	18.80 	33.90 	0.00 	8.70 	19.30 	12.90 	15.50 	B 	33.30 	33.40 	12.00 	0.00 	@CLE	Oparysh	10
19.	Smith, DeVonta PHI WR	207.00	15.923	0.00 	19.00 	45.40 	3.70 	21.20 	14.40 	B 	5.80 	3.70 	12.40 	16.80 	13.00 	30.20 	21.40 	@NEP	GOD	7
20.	Aiyuk, Brandon SFO WR	201.70	15.515	6.20 	15.30 	12.90 	6.70 	13.30 	31.80 	18.70 	23.60 	B 	15.90 	16.00 	15.00 	7.60 	18.70 	@PIT	БЕСЫ	9
21.	Evans, Mike TBB WR	198.50	16.542	23.10 	14.10 	  	39.30 	16.60 	7.20 	21.60 	27.30 	8.00 	14.40 	B 	4.60 	14.40 	7.90 	@MIN	Lesorub Magadan	11
22.	Pittman, Michael IND WR	198.50	16.542	36.10 	  	18.20 	5.10 	15.40 	33.90 	12.80 	15.30 	3.70 	15.30 	17.00 	22.60 	3.10 	B 	JAC	ansuperman (Q)	14
23.	Samuel, Deebo SFO WR	193.00	16.083	18.10 	18.70 	16.90 	32.20 	11.20 	19.00 	7.40 	  	B 	6.60 	25.90 	6.80 	16.30 	13.90 	@PIT	NDAK	9
24.	Godwin, Chris TBB WR	182.70	16.609	5.50 	  	  	15.90 	16.30 	19.50 	9.00 	16.50 	8.20 	23.60 	B 	36.00 	17.80 	14.40 	@MIN	NDAK	11
25.	Smith-Schuster, JuJu KCC WR	182.20	15.183	15.40 	2.50 	18.40 	8.60 	5.80 	31.80 	34.90 	B 	21.30 	5.30 	  	6.80 	6.50 	24.90 	PHI	Oparysh (Q)	8
26.	Samuel, Curtis WAS WR	178.90	13.762	23.20 	26.40 	11.10 	7.30 	16.20 	1.60 	17.90 	16.40 	22.10 	6.50 	10.80 	1.30 	18.10 	B 	ARI	KWar	14
27.	Palmer, Josh LAC WR	178.40	14.867	2.90 	12.50 	20.40 	3.50 	4.90 	16.20 	  	B 	27.10 	6.90 	39.10 	15.60 	16.00 	13.30 	MIA	NDAK	8
28.	Thielen, Adam MIN WR	177.50	13.654	6.10 	13.70 	23.10 	18.70 	5.70 	15.10 	B 	16.70 	14.20 	8.40 	4.50 	24.10 	4.20 	23.00 	@ATL	Oparysh	7
29.	Peoples-Jones, Donovan CLE WR	176.30	13.562	15.50 	0.00 	2.00 	15.60 	13.50 	16.10 	13.60 	16.60 	B 	19.40 	21.10 	3.10 	12.40 	27.40 	CIN	NDAK	9
30.	Jeudy, Jerry DEN WR	174.80	15.891	29.70 	2.70 	3.20 	19.30 	13.30 	13.40 	20.10 	22.30 	B 	0.00 	  	  	14.50 	36.30 	LVR	Snusmumrik's Minions	9
31.	Davis, Gabriel BUF WR	174.10	14.508	23.30 	  	6.20 	2.30 	47.10 	21.40 	B 	5.00 	4.80 	25.80 	15.80 	7.30 	9.50 	5.60 	@NYJ	Lesorub Magadan	7
32.	Hopkins, DeAndre ARI WR	169.80	24.257	  	  	  	  	  	  	27.30 	47.40 	12.10 	21.80 	21.60 	23.20 	B 	16.40 	@NOS	PGs	13
33.	Jones, Zay JAC WR	169.60	14.133	16.50 	4.30 	27.00 	  	3.20 	8.20 	16.30 	5.50 	7.50 	17.80 	B 	35.50 	2.60 	25.20 	@IND	Lesorub Magadan	11
34.	Lazard, Allen GBP WR	167.50	15.227	  	9.30 	14.50 	27.10 	13.00 	22.10 	15.50 	  	23.70 	6.50 	14.70 	4.40 	16.70 	B 	BUF	KWar	14
35.	Moore, D.J. CAR WR	167.50	12.885	7.50 	12.80 	2.00 	16.60 	15.20 	2.20 	23.10 	42.00 	4.40 	5.90 	4.40 	30.30 	B 	1.10 	GBP	БЕСЫ	13
36.	Williams, Mike LAC WR	166.60	18.511	2.00 	33.30 	8.50 	28.00 	31.40 	2.70 	25.60 	B 	  	  	2.50 	  	  	32.60 	MIA	GKC	8
37.	Boyd, Tyler CIN WR	165.92	12.763	12.80 	4.70 	30.50 	7.12 	5.70 	16.60 	43.50 	12.80 	7.90 	B 	6.20 	3.10 	15.00 	0.00 	@CLE	PGs	10
38.	Sutton, Courtland DEN WR	162.30	13.525	15.70 	29.20 	21.20 	19.70 	15.90 	2.90 	4.30 	2.30 	B 	16.10 	17.50 	17.50 	0.00 	  	LVR	MH	9
39.	Meyers, Jakobi NEP WR	156.20	15.620	14.70 	21.00 	  	  	33.60 	14.00 	11.40 	23.50 	6.40 	B 	13.70 	14.20 	3.70 	  	@DEN	GKC	10
40.	Johnson, Diontae PIT WR	154.50	11.885	15.00 	18.20 	19.40 	3.70 	14.50 	7.10 	8.50 	6.50 	B 	14.30 	4.70 	8.90 	15.50 	18.20 	SFO	illmatic27	9
41.	Hollins, Mack LVR WR	153.96	11.843	2.60 	15.60 	43.96 	5.80 	0.00 	B 	12.40 	16.90 	3.20 	3.30 	13.70 	20.30 	7.00 	9.20 	CAR	NDAK	6
42.	Pickens, George PIT WR	151.40	11.646	0.80 	3.30 	5.90 	25.20 	19.30 	4.80 	22.10 	0.00 	B 	15.00 	22.80 	15.70 	0.70 	15.80 	SFO	KWar	9
43.	Brown, Marquise ARI WR	145.00	18.125	13.30 	15.80 	34.50 	25.30 	25.30 	15.80 	  	  	  	  	  	8.60 	B 	6.40 	@WAS	GOD	13
44.	Watson, Christian GBP WR	142.90	14.290	5.60 	2.40 	  	9.30 	0.30 	  	  	1.70 	4.40 	42.70 	20.60 	31.00 	24.90 	B 	@CHI	GKC	14
45.	Slayton, Darius NYG WR	138.30	11.525	  	0.00 	0.00 	2.10 	18.40 	2.80 	19.80 	16.10 	B 	23.00 	18.10 	13.80 	18.50 	5.70 	DAL	Lesorub Magadan	9
46.	London, Drake ATL WR	136.30	10.485	16.40 	28.10 	19.40 	3.20 	7.00 	6.50 	1.40 	6.60 	2.80 	13.30 	7.20 	4.40 	20.00 	B 	CAR	БЕСЫ	14
47.	Valdes-Scantling, Marquez KCC WR	131.80	10.138	7.60 	2.30 	8.30 	13.80 	19.50 	0.00 	24.10 	B 	2.20 	19.50 	2.80 	14.60 	14.10 	3.00 	DET	GKC	8
48.	Campbell, Parris IND WR	129.30	9.946	6.70 	0.00 	2.00 	7.30 	4.20 	22.20 	25.50 	9.10 	3.10 	23.10 	15.70 	2.90 	7.50 	B 	DAL	Gonsales Monsters	14
49.	Mooney, Darnell CHI WR	121.50	10.125	1.30 	0.10 	3.80 	17.90 	12.20 	16.80 	13.30 	15.50 	15.00 	14.20 	11.40 	0.00 	  	B 	GBP	FC (Q)	14
50.	Cooks, Brandin HOU WR	121.20	12.120	18.70 	13.40 	3.70 	22.20 	4.00 	B 	7.60 	15.30 	  	6.70 	15.00 	14.60 	  	  	@NYG	NDAK	6
51.	Duvernay, Devin BAL WR	121.20	9.323	25.40 	12.20 	10.30 	13.10 	17.30 	2.40 	6.20 	16.90 	1.00 	B 	1.70 	6.40 	8.30 	0.00 	HOU	Gonsales Monsters	10
52.	Carter, DeAndre LAC WR	120.10	9.238	20.40 	13.50 	5.10 	1.10 	2.40 	3.70 	5.70 	B 	15.30 	20.90 	5.30 	23.80 	2.40 	0.50 	@DEN	FA	8
53.	Pierce, Alec IND WR	115.50	9.625	0.00 	  	14.10 	16.50 	19.60 	13.40 	6.20 	14.00 	3.30 	0.00 	4.80 	0.00 	23.60 	B 	JAC	Oparysh	14
54.	McKenzie, Isaiah BUF WR	115.40	9.617	9.90 	5.20 	25.20 	11.10 	  	1.90 	B 	8.50 	3.60 	9.50 	0.00 	26.30 	8.90 	5.30 	JAC	illmatic27	7
