1.	Jefferson, Justin MIN WR	468.86	29.304	53.40 	9.80 	2.90 	39.00 	43.82 	25.20 	B 	19.30 	34.50 	49.30 	5.80 	37.34 	17.10 	51.80 	37.80 	39.30 	2.50 	TBB	Snusmumrik's Minions	7
2.	Hill, Tyreek MIA WR	443.40	27.712	21.50 	54.50 	5.30 	38.90 	11.50 	43.20 	17.20 	44.50 	37.30 	14.90 	B 	19.00 	38.10 	28.10 	24.40 	24.30 	20.70 	@LAC	FC (Q)	11
3.	Adams, Davante LVR WR	410.70	25.669	39.10 	9.20 	12.70 	27.00 	37.40 	B 	21.00 	0.70 	44.60 	35.10 	42.60 	17.90 	52.70 	14.60 	5.30 	3.00 	47.80 	@DEN	MH	6
4.	Brown, A.J. PHI WR	376.60	23.538	39.00 	15.40 	24.50 	19.00 	5.70 	21.70 	B 	53.60 	20.40 	1.70 	12.50 	12.10 	40.40 	20.50 	40.60 	26.30 	23.20 	@NEP	GOD	7
5.	Diggs, Stefon BUF WR	366.70	24.447	34.70 	51.80 	17.90 	14.70 	32.70 	39.80 	B 	31.30 	19.30 	31.80 	14.30 	25.70 	27.20 	5.70 	15.20 	4.60 	  	@NYJ	ansuperman	7
6.	Lamb, CeeDee DAL WR	363.40	22.712	4.90 	19.10 	26.70 	25.70 	13.80 	16.70 	15.60 	23.30 	B 	51.50 	8.00 	27.70 	25.90 	6.30 	28.70 	42.00 	27.50 	@NYG	Gonsales Monsters (Q)	9
7.	Waddle, Jaylen MIA WR	337.40	21.087	22.20 	54.10 	25.10 	5.90 	4.80 	25.40 	17.80 	40.10 	24.00 	15.60 	B 	18.00 	1.90 	5.10 	30.40 	34.30 	12.70 	@LAC	GOD	11
8.	St. Brown, Amon-Ra DET WR	330.20	22.013	22.90 	52.90 	17.30 	  	4.30 	B 	0.90 	17.40 	14.00 	31.10 	18.00 	37.40 	43.60 	17.40 	20.20 	17.60 	15.20 	@KCC	Oparysh	6
9.	Cooper, Amari CLE WR	303.90	18.994	3.20 	34.60 	31.60 	1.90 	25.10 	13.90 	14.90 	30.10 	B 	6.20 	40.80 	19.90 	7.50 	6.20 	14.80 	17.70 	35.50 	CIN	illmatic27	9
10.	Smith, DeVonta PHI WR	303.90	18.994	0.00 	19.00 	45.40 	3.70 	21.20 	14.40 	B 	5.80 	3.70 	12.40 	16.80 	13.00 	30.20 	21.40 	27.60 	40.80 	28.50 	@NEP	GOD	7
11.	Evans, Mike TBB WR	288.40	19.227	23.10 	14.10 	  	39.30 	16.60 	7.20 	21.60 	27.30 	8.00 	14.40 	B 	4.60 	14.40 	7.90 	17.80 	5.40 	66.70 	@MIN	Lesorub Magadan	11
12.	McLaurin, Terry WAS WR	283.10	17.694	18.80 	17.20 	25.20 	3.00 	16.60 	8.20 	22.80 	25.10 	14.60 	29.30 	14.10 	9.30 	33.50 	B 	17.00 	22.70 	5.70 	ARI	NDAK	14
13.	Chase, Ja'Marr CIN WR	277.30	25.209	38.90 	15.80 	10.70 	16.60 	15.00 	41.20 	42.00 	  	  	B 	  	  	20.20 	37.00 	22.00 	17.90 	  	@CLE	MH	10
14.	Lockett, Tyler SEA WR	270.40	18.027	5.30 	28.20 	18.60 	16.60 	36.90 	3.20 	9.50 	19.80 	21.70 	13.20 	B 	20.30 	36.30 	21.50 	16.80 	  	2.50 	LAR	FC	11
15.	Kirk, Christian JAC WR	266.00	16.625	26.20 	30.30 	23.20 	13.30 	1.60 	9.30 	21.10 	7.00 	25.10 	40.50 	B 	7.10 	25.90 	7.50 	19.70 	4.60 	3.60 	@IND	Oparysh	11
16.	Higgins, Tee CIN WR	265.70	17.713	4.70 	23.60 	18.80 	33.90 	0.00 	8.70 	19.30 	12.90 	15.50 	B 	33.30 	33.40 	12.00 	0.00 	14.80 	34.80 	  	@CLE	Oparysh	10
